date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:23	131000/131000	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb7ab-1ffb8%22	https://demo.dashboardpack.com/adminty-html/default/tour.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/tour.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:24	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Sep%202020%2002:16:59%20GMT	https://demo.dashboardpack.com/adminty-html/treeview.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/treeview.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:24	136504/136504	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb788-21538%22	https://demo.dashboardpack.com/adminty-html/default/nestable.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/nestable.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:24	136327/136327	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb7a9-21487%22	https://demo.dashboardpack.com/adminty-html/default/toolbar.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/toolbar.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:25	126573/126573	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb7b1-1ee6d%22	https://demo.dashboardpack.com/adminty-html/default/x-editable.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/x-editable.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:25	119315/119315	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb7a2-1d213%22	https://demo.dashboardpack.com/adminty-html/default/session-timeout.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/session-timeout.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:25	119496/119496	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb7a1-1d2c8%22	https://demo.dashboardpack.com/adminty-html/default/session-idle-timeout.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/session-idle-timeout.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:25	124872/124872	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb78c-1e7c8%22	https://demo.dashboardpack.com/adminty-html/default/offline.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/offline.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:26	148260/148260	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb725-24324%22	https://demo.dashboardpack.com/adminty-html/default/animation.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/animation.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:26	122107/122107	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb7a3-1dcfb%22	https://demo.dashboardpack.com/adminty-html/default/sticky.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/sticky.html	(from https://demo.dashboardpack.com/adminty-html/)
